Year,Site biodiversity,gaadhoo_inside,gaadhoo_outside,hithadhoo_corner,hithadhoo_inside,hithadhoo_west,kurethi_outside,laamafaruhaa,maavah_corner,maavah_inside,maavah_outside,olhuveli_corner,olhuveli_reef,pink_thila,rahdashu_haa,fonadhoo_outside,fonadhoo_inside,fushi_kandu,maabaidhoo_inside,maabaidhoo_outside,mean
2021/22,no_fish_family,8,8,7,8,7,8,7,8,6,8,7,7,7,7,8,8,8,8,8,7.526315789
,no_fish_species,34,31,30,34,28,37,35,39,29,29,36,32,24,40,36,40,37,24,38,33.31578947
,no_individuals,242,203,194,242,226,328,393,584,364,627,177,172,103,619,569,256,768,255,436,355.6842105
,species_richness_(spp_per_500m2),8.5,7.75,7.5,8.5,7,9.25,8.75,9.75,7.25,7.25,9,8,6,10,9,10,9.25,6,9.5,8.328947368
,density_(individuals_per_500m2),60.5,50.75,48.5,60.5,56.5,82,98.25,146,91,156.75,44.25,43,25.75,154.75,142.25,64,192,63.75,109,88.92105263
,shannon_species_diversity_index,1.9195262,0.85440952,0.68458468,2.01897464,1.26965755,0.68334873,2.29324942,0.96519692,1.13028456,1.24823243,0.71415197,0.59670196,1.10307089,0.82945312,-2.2902923,0.48154347,1.04140664,2.0459777,0.52424148,0.953353662
,simpsons_biodiversity_index_1-D,0.88294896,0.91028659,0.73535976,0.92643945,0.92360404,0.89859087,0.79988807,0.88440022,0.81942096,0.58143256,0.94640748,0.84552461,0.92468659,0.87247919,0.79737831,0.89334106,0.43256315,0.89622453,0.89106557,0.834844314
,most_abundant_family,scaridae,scaridae,lutjanidae,lutjanidae,ballistidae,scaridae,scaridae,lutjanidae,scaridae,lutjanidae,scaridae,scaridae,scaridae,lutjanidae,lutjanidae,scaridae,lutjanidae,chaetodontidae,ballistidae,
,most_abundant_species,c_sordidus,c_sordidus,l_kasmira,m_grandoculis,m_indicus,c_sordidus,c_sordidus,l_gibbus,c_sordidus,l_gibbus,c_sexmaculata,c_sordidus,s_niger,l_bigguttatus,l_kasmira,c_sordidus,l_gibbus,g_speciosus,m_indicus,
2019,no_fish_family,,,,,,,,,,,,,,,,,,,,0
,no_fish_species,36,41,31.00,58,46,50,42,48,27,46,30,37,34,41,35,34,63,40,41,41.05263158
,no_individuals,214,213,121,455,332,492,272,419,239,2271,161,260,222,373,277,261,887,304,466,433.6315789
,species_richness_(spp_per_250m2),9,10.25,7.75,14.5,11.5,7,10.5,12,6.75,11.5,7.5,9.25,8.5,10.25,8.75,8.5,15.75,10,10.25,9.973684211
,density_(individuals_per_250m2),53.5,53.25,30.25,113.75,83,47.5,68,104.75,59.75,567.75,40.25,65,55.5,93.25,69.25,65.25,192,76,116.5,102.8684211
,simpsons_biodiversity_index_1-D,0.95,0.95,0.94,0.94,0.95,0.92,0.93,0.95,0.91,0.46,0.93,0.96,0.94,0.95,0.91,0.92,0.95,0.83,0.83,0.901052632
,most_abundant_family,chaetodontidae,chaetodontidae,scaridae,chaetodontidae,chaetodontidae,chaetodontidae,pomicanthidae,chaetodontidae,scaridae,lutjanidae,chaetodontidae,chaetodontidae,chaetodontidae,chaetodontidae,lutjanidae,lutjanidae,chaetodontidae,chaetodontidae,lutjanidae,
,most_abundant_species,c_argus,m_grandoculis,p_flavimarginatus,c_collare,m_grandoculis,c_trifasciatus,p.diacanthus,p.vittatus,m_grandoculis,l_gibbus,c_kleinni,c_auriga,m_grandoculis,c_kleinni,l_gibbus,l_gibbus,c_collare,m_grandoculis,l_kasmira,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
