"","Site.id","Site.name","Family","Species","count","year","reef.type","Status"
"1","FI","Fonadhoo inside","BUT","AUR",5,"2019","inside","ECO"
"2","FI","Fonadhoo inside","BUT","FAL",6,"2019","inside","ECO"
"3","FI","Fonadhoo inside","BUT","LUN",6,"2019","inside","ECO"
"4","FI","Fonadhoo inside","BUT","TFT",24,"2019","inside","ECO"
"5","FI","Fonadhoo inside","BUT","TRI",6,"2019","inside","ECO"
"6","FI","Fonadhoo inside","EMP","AUR",3,"2019","inside","COM"
"7","FI","Fonadhoo inside","EMP","MONO",14,"2019","inside","COM"
"8","FI","Fonadhoo inside","EMP","OBS",1,"2019","inside","COM"
"9","FI","Fonadhoo inside","GRO","EPH",2,"2019","inside","COM"
"10","FI","Fonadhoo inside","GRO","ARG",35,"2019","inside","COM"
"11","FI","Fonadhoo inside","GRO","FUS",1,"2019","inside","COM"
"12","FI","Fonadhoo inside","GRO","LEA",1,"2019","inside","COM"
"13","FI","Fonadhoo inside","GRO","LEO",3,"2019","inside","COM"
"14","FI","Fonadhoo inside","GRO","LEU",2,"2019","inside","COM"
"15","FI","Fonadhoo inside","GRO","MIN",4,"2019","inside","COM"
"16","FI","Fonadhoo inside","GRO","ROG",7,"2019","inside","COM"
"17","FI","Fonadhoo inside","GRO","SON",2,"2019","inside","COM"
"18","FI","Fonadhoo inside","PAR","3COLOR",1,"2019","inside","ECO"
"19","FI","Fonadhoo inside","PAR","DUSKY",4,"2019","inside","ECO"
"20","FI","Fonadhoo inside","PAR","GFACE",1,"2019","inside","ECO"
"21","FI","Fonadhoo inside","PAR","LNOSE",5,"2019","inside","ECO"
"22","FI","Fonadhoo inside","PAR","SORDID",25,"2019","inside","ECO"
"23","FI","Fonadhoo inside","SNAP","FUR",3,"2019","inside","COM"
"24","FI","Fonadhoo inside","SNAP","GIB",50,"2019","inside","COM"
"25","FI","Fonadhoo inside","SNAP","IND",1,"2019","inside","COM"
"26","FI","Fonadhoo inside","SNAP","MID",3,"2019","inside","COM"
