Date,Site,Depth,Replicate,Reef impacts,,,
05/07/2019,OR,10m,1,OTHER DAMAGES,,,3
05/07/2019,OR,10m,1,OTHER DAMAGES,,,
05/07/2019,OR,10m,1,OTHER DAMAGES,,,
05/07/2019,OR,10m,2,COTS/CS DAMAGE,,,
05/07/2019,OR,10m,2,OTHER DAMAGES,,,
05/07/2019,OR,10m,2,FISHING LINES,,,
05/07/2019,OR,10m,2,FISHING LINES,,,
05/07/2019,OR,10m,2,FISHING LINES,,,
05/07/2019,OR,10m,2,FISHING LINES,,,
05/07/2019,OR,5m,1,TRASH,,,
05/07/2019,OR,5m,1,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,TRASH,,,
05/07/2019,OR,5m,2,FISHING LINES,,,
05/07/2019,OR,5m,2,FISHING LINES,,,
05/07/2019,OR,5m,2,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,2,TRASH,,,
07/06/2019,HI,10m,2,TRASH,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,1,TRASH,,,
07/06/2019,HI,10m,1,TRASH,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,1,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,10m,2,FISHING LINES,,,
07/06/2019,HI,5m,1,TRASH,,,
07/06/2019,HI,5m,1,FISHING LINES,,,
07/06/2019,HI,5m,1,FISHING LINES,,,
07/06/2019,HI,5m,2,FISHING LINES,,,
07/06/2019,HI,5m,1,FISHING LINES,,,
07/06/2019,HI,5m,1,FISHING LINES,,,
07/06/2019,HI,5m,2,FISHING LINES,,,
07/07/2019,OI,10m,2,TRASH,,,
07/07/2019,OI,10m,2,TRASH,,,
07/07/2019,OI,5m,2,TRASH,,,
07/09/2019,LF,10m,2,TRASH,,,
07/09/2019,LF,10m,1,FISHING LINES,,,
07/09/2019,LF,10m,2,ANCHOR DAMAGE,,,
07/09/2019,LF,5m,1,FISHING LINES,,,
07/09/2019,LF,5m,1,OTHER DAMAGES,,,
07/09/2019,LF,5m,2,TRASH,,,
07/09/2019,LF,5m,2,FISHING LINES,,,
07/09/2019,LF,5m,2,FISHING LINES,,,
07/10/2019,FI,10m,1,TRASH,,,
07/10/2019,FI,10m,1,TRASH,,,
07/10/2019,FI,10m,1,TRASH,,,
07/10/2019,FI,10m,1,TRASH,,,
07/10/2019,FI,10m,1,TRASH,,,
07/10/2019,FI,10m,1,FISHING LINES,,,
07/10/2019,FI,10m,1,FISHING LINES,,,
07/10/2019,FI,10m,1,FISHING LINES,,,
07/10/2019,FI,10m,2,TRASH,,,
07/10/2019,FI,10m,2,TRASH,,,
07/10/2019,FI,10m,1,FISHING LINES,,,
07/10/2019,FI,10m,1,OTHER DAMAGES,,,
07/10/2019,FI,10m,1,OTHER DAMAGES,,,
07/10/2019,FI,10m,1,OTHER DAMAGES,,,
07/10/2019,FI,10m,2,TRASH,,,
07/10/2019,FI,10m,2,FISHING LINES,,,
07/10/2019,FI,10m,2,OTHER DAMAGES,,,
07/10/2019,FI,10m,2,OTHER DAMAGES,,,
07/10/2019,FI,10m,2,OTHER DAMAGES,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,2,TRASH,,,
07/10/2019,FI,5m,2,TRASH,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,1,TRASH,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,1,FISHING LINES,,,
07/10/2019,FI,5m,1,OTHER DAMAGES,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,DRUPELLA DAMAGE,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
