"","Site","Depth","Replicate.No.","Family","Species","abundance","Site.name","reef.type"
"1","BI",5,1,"BUT","AUR",3,"Baresdhoo inside","inside"
"2","BI",5,1,"BUT","FAL",2,"Baresdhoo inside","inside"
"3","BI",5,1,"BUT","LUN",7,"Baresdhoo inside","inside"
"4","BI",5,1,"BUT","TFT",11,"Baresdhoo inside","inside"
"5","BI",5,1,"BUT","TRI",3,"Baresdhoo inside","inside"
"6","BI",5,1,"BUT","XAN",5,"Baresdhoo inside","inside"
"7","BI",5,1,"EMP","AUR",1,"Baresdhoo inside","inside"
"8","BI",5,1,"EMP","MONO",1,"Baresdhoo inside","inside"
"9","BI",5,1,"GRO","ARG",8,"Baresdhoo inside","inside"
"10","BI",5,1,"GRO","LEO",1,"Baresdhoo inside","inside"
"11","BI",5,1,"GRO","LEU",2,"Baresdhoo inside","inside"
"12","BI",5,1,"GRO","ROG",3,"Baresdhoo inside","inside"
"13","BI",5,1,"PAR","3 COLOUR",1,"Baresdhoo inside","inside"
"14","BI",5,1,"PAR","DUSKY",10,"Baresdhoo inside","inside"
"15","BI",5,1,"PAR","SORDID",32,"Baresdhoo inside","inside"
"16","BI",5,1,"RAB","STR",24,"Baresdhoo inside","inside"
"17","BI",5,1,"SNAP","FUR",1,"Baresdhoo inside","inside"
"18","BI",5,1,"SNAP","GIB",10,"Baresdhoo inside","inside"
"19","BI",5,1,"T&J","MEL",1,"Baresdhoo inside","inside"
"20","BI",5,2,"BUT","AUR",2,"Baresdhoo inside","inside"
"21","BI",5,2,"BUT","FAL",2,"Baresdhoo inside","inside"
"22","BI",5,2,"BUT","LUN",11,"Baresdhoo inside","inside"
"23","BI",5,2,"BUT","TFT",18,"Baresdhoo inside","inside"
"24","BI",5,2,"BUT","TRI",4,"Baresdhoo inside","inside"
"25","BI",5,2,"PAR","DUSKY",11,"Baresdhoo inside","inside"
"26","BI",5,2,"PAR","SORDID",31,"Baresdhoo inside","inside"
"27","BI",5,2,"SNAP","ARG",1,"Baresdhoo inside","inside"
"28","BI",5,2,"SNAP","FUR",2,"Baresdhoo inside","inside"
"29","BI",5,2,"SNAP","RED",1,"Baresdhoo inside","inside"
"30","BI",5,2,"TRIG","STR",1,"Baresdhoo inside","inside"
"31","BI",10,1,"BUT","DECU",1,"Baresdhoo inside","inside"
"32","BI",10,1,"BUT","GUT",1,"Baresdhoo inside","inside"
"33","BI",10,1,"EMP","MONO",1,"Baresdhoo inside","inside"
"34","BI",10,1,"GRO","ARG",4,"Baresdhoo inside","inside"
"35","BI",10,1,"GRO","ROG",1,"Baresdhoo inside","inside"
"36","BI",10,1,"PAR","DUSKY",5,"Baresdhoo inside","inside"
"37","BI",10,1,"PAR","SORDID",37,"Baresdhoo inside","inside"
"38","BI",10,1,"RAB","SGR",2,"Baresdhoo inside","inside"
"39","BI",10,1,"SNAP","RED",1,"Baresdhoo inside","inside"
"40","BI",10,1,"TRIG","STR",5,"Baresdhoo inside","inside"
"41","BI",10,2,"BUT","AUR",2,"Baresdhoo inside","inside"
"42","BI",10,2,"BUT","GUT",2,"Baresdhoo inside","inside"
"43","BI",10,2,"BUT","XAN",1,"Baresdhoo inside","inside"
"44","BI",10,2,"EMP","OBS",35,"Baresdhoo inside","inside"
"45","BI",10,2,"GRO","ARG",2,"Baresdhoo inside","inside"
"46","BI",10,2,"GRO","BOE",1,"Baresdhoo inside","inside"
