"","Site","Family","Species","count","Site.name","reef.type","year"
"1","BI","BUT","AUR",7,"Baresdhoo inside","inside","2021/22"
"2","BI","BUT","DECU",1,"Baresdhoo inside","inside","2021/22"
"3","BI","BUT","FAL",4,"Baresdhoo inside","inside","2021/22"
"4","BI","BUT","GUT",3,"Baresdhoo inside","inside","2021/22"
"5","BI","BUT","LUN",18,"Baresdhoo inside","inside","2021/22"
"6","BI","BUT","TFT",29,"Baresdhoo inside","inside","2021/22"
"7","BI","BUT","TRI",7,"Baresdhoo inside","inside","2021/22"
"8","BI","BUT","XAN",6,"Baresdhoo inside","inside","2021/22"
"9","BI","EMP","AUR",1,"Baresdhoo inside","inside","2021/22"
"10","BI","EMP","MONO",2,"Baresdhoo inside","inside","2021/22"
"11","BI","EMP","OBS",35,"Baresdhoo inside","inside","2021/22"
"12","BI","GRO","ARG",14,"Baresdhoo inside","inside","2021/22"
"13","BI","GRO","BOE",1,"Baresdhoo inside","inside","2021/22"
"14","BI","GRO","LEO",1,"Baresdhoo inside","inside","2021/22"
"15","BI","GRO","LEU",2,"Baresdhoo inside","inside","2021/22"
"16","BI","GRO","ROG",4,"Baresdhoo inside","inside","2021/22"
"17","BI","GRO","SEX",1,"Baresdhoo inside","inside","2021/22"
"18","BI","PAR","2 COLOUR",1,"Baresdhoo inside","inside","2021/22"
"19","BI","PAR","3 COLOUR",1,"Baresdhoo inside","inside","2021/22"
"20","BI","PAR","BLUEBAR",2,"Baresdhoo inside","inside","2021/22"
"21","BI","PAR","DUSKY",29,"Baresdhoo inside","inside","2021/22"
"22","BI","PAR","SORDID",120,"Baresdhoo inside","inside","2021/22"
"23","BI","RAB","SGR",2,"Baresdhoo inside","inside","2021/22"
"24","BI","RAB","STR",24,"Baresdhoo inside","inside","2021/22"
"25","BI","SNAP","ARG",1,"Baresdhoo inside","inside","2021/22"
"26","BI","SNAP","FUR",3,"Baresdhoo inside","inside","2021/22"
"27","BI","SNAP","GIB",10,"Baresdhoo inside","inside","2021/22"
"28","BI","SNAP","RED",3,"Baresdhoo inside","inside","2021/22"
"29","BI","T&J","MEL",4,"Baresdhoo inside","inside","2021/22"
"30","BI","TRIG","STR",8,"Baresdhoo inside","inside","2021/22"
"31","FGO","BUT","COL",12,"Fonagaadhoo outside","outside","2021/22"
"32","FGO","BUT","FAL",1,"Fonagaadhoo outside","outside","2021/22"
