site_id,site,family,species,count,year,reef_type
FI,Fonadhoo inside,BUT,AUR,5,2019,inside
FI,Fonadhoo inside,BUT,FAL,6,2019,inside
FI,Fonadhoo inside,BUT,LUN,6,2019,inside
FI,Fonadhoo inside,BUT,TFT,24,2019,inside
FI,Fonadhoo inside,BUT,TRI,6,2019,inside
FI,Fonadhoo inside,EMP,AUR,3,2019,inside
FI,Fonadhoo inside,EMP,MONO,14,2019,inside
FI,Fonadhoo inside,EMP,OBS,1,2019,inside
FI,Fonadhoo inside,GRO,EPH,2,2019,inside
FI,Fonadhoo inside,GRO,ARG,35,2019,inside
FI,Fonadhoo inside,GRO,FUS,1,2019,inside
FI,Fonadhoo inside,GRO,LEA,1,2019,inside
FI,Fonadhoo inside,GRO,LEO,3,2019,inside
FI,Fonadhoo inside,GRO,LEU,2,2019,inside
FI,Fonadhoo inside,GRO,MIN,4,2019,inside
FI,Fonadhoo inside,GRO,ROG,7,2019,inside
FI,Fonadhoo inside,GRO,SON,2,2019,inside
FI,Fonadhoo inside,PAR,3COLOR,1,2019,inside
FI,Fonadhoo inside,PAR,DUSKY,4,2019,inside
FI,Fonadhoo inside,PAR,GFACE,1,2019,inside
FI,Fonadhoo inside,PAR,LNOSE,5,2019,inside
FI,Fonadhoo inside,PAR,SORDID,25,2019,inside
FI,Fonadhoo inside,SNAP,FUR,3,2019,inside
FI,Fonadhoo inside,SNAP,GIB,50,2019,inside
FI,Fonadhoo inside,SNAP,IND,1,2019,inside
FI,Fonadhoo inside,SNAP,MID,3,2019,inside
FI,Fonadhoo inside,SNAP,MONOS,12,2019,inside
FI,Fonadhoo inside,SNAP,RED,2,2019,inside
FI,Fonadhoo inside,TRIG,STR,11,2019,inside
FI,Fonadhoo inside,TRIG,SUFC,1,2019,inside
FO,Fonadhoo outside,BUT,AUR,3,2019,outside
FO,Fonadhoo outside,BUT,CIT,2,2019,outside
FO,Fonadhoo outside,BUT,GUT,13,2019,outside
FO,Fonadhoo outside,BUT,MEY,1,2019,outside
FO,Fonadhoo outside,BUT,TFT,5,2019,outside
FO,Fonadhoo outside,BUT,TRI,1,2019,outside
FO,Fonadhoo outside,BUT,XAN,2,2019,outside
FO,Fonadhoo outside,EMP,AUR,31,2019,outside
FO,Fonadhoo outside,EMP,MONO,10,2019,outside
FO,Fonadhoo outside,GRO,EPH,1,2019,outside
FO,Fonadhoo outside,GRO,ARG,18,2019,outside
FO,Fonadhoo outside,GRO,COE ,1,2019,outside
FO,Fonadhoo outside,GRO,LEA,1,2019,outside
FO,Fonadhoo outside,GRO,LEU,1,2019,outside
FO,Fonadhoo outside,GRO,LOU,1,2019,outside
FO,Fonadhoo outside,GRO,ROGA,3,2019,outside
FO,Fonadhoo outside,GRO,SON,1,2019,outside
FO,Fonadhoo outside,PAR,BLTIP,2,2019,outside
FO,Fonadhoo outside,PAR,ECLIPSE,2,2019,outside
FO,Fonadhoo outside,PAR,LNOSE,1,2019,outside
FO,Fonadhoo outside,PAR,SCABER,7,2019,outside
FO,Fonadhoo outside,PAR,SORDID,30,2019,outside
FO,Fonadhoo outside,SNAP,BLACK,5,2019,outside
FO,Fonadhoo outside,SNAP,CHECK,2,2019,outside
FO,Fonadhoo outside,SNAP,FUR,2,2019,outside
FO,Fonadhoo outside,SNAP,GIB,64,2019,outside
FO,Fonadhoo outside,SNAP,KAS,22,2019,outside
FO,Fonadhoo outside,SNAP,MONO,8,2019,outside
FO,Fonadhoo outside,SNAP,RED,8,2019,outside
FO,Fonadhoo outside,TRIG,IND,4,2019,outside
FO,Fonadhoo outside,TRIG,STR,5,2019,outside
FK,Fushi kandu,BUT,AUR,7,2019,channel
FK,Fushi kandu,BUT,COL,132,2019,channel
FK,Fushi kandu,BUT,GUT,19,2019,channel
FK,Fushi kandu,BUT,KLE,23,2019,channel
FK,Fushi kandu,BUT,LN,6,2019,channel
FK,Fushi kandu,BUT,LUN,22,2019,channel
FK,Fushi kandu,BUT,MEY,15,2019,channel
FK,Fushi kandu,BUT,PHA,3,2019,channel
FK,Fushi kandu,BUT,PYR,2,2019,channel
FK,Fushi kandu,BUT,TFT,8,2019,channel
FK,Fushi kandu,BUT,TRI,2,2019,channel
FK,Fushi kandu,BUT,XAN,3,2019,channel
FK,Fushi kandu,EMP,MONO,1,2019,channel
FK,Fushi kandu,EMP,OLI,5,2019,channel
FK,Fushi kandu,GRO,EPH,3,2019,channel
FK,Fushi kandu,GRO,ALBO,7,2019,channel
FK,Fushi kandu,GRO,ARE,6,2019,channel
FK,Fushi kandu,GRO,ARG,43,2019,channel
FK,Fushi kandu,GRO,COE,10,2019,channel
FK,Fushi kandu,GRO,LEA,6,2019,channel
FK,Fushi kandu,GRO,LEO,4,2019,channel
FK,Fushi kandu,GRO,LOU,1,2019,channel
FK,Fushi kandu,GRO,MAC,3,2019,channel
FK,Fushi kandu,GRO,MER,2,2019,channel
FK,Fushi kandu,GRO,MIN,24,2019,channel
FK,Fushi kandu,GRO,POL,4,2019,channel
FK,Fushi kandu,GRO,ROG,15,2019,channel
FK,Fushi kandu,GRO,SON,52,2019,channel
FK,Fushi kandu,GRO,SPIL,20,2019,channel
FK,Fushi kandu,PAR,3COLOR,3,2019,channel
FK,Fushi kandu,PAR,BIC,2,2019,channel
FK,Fushi kandu,PAR,DUSKY,1,2019,channel
FK,Fushi kandu,PAR,EMBER,4,2019,channel
FK,Fushi kandu,PAR,FESTIVE,4,2019,channel
FK,Fushi kandu,PAR,FRENATUS,2,2019,channel
FK,Fushi kandu,PAR,GSNOUT,3,2019,channel
FK,Fushi kandu,PAR,SCABER,2,2019,channel
FK,Fushi kandu,PAR,SHEEPHEAD,2,2019,channel
FK,Fushi kandu,PAR,SORDID,53,2019,channel
FK,Fushi kandu,SNAP,BLACK,11,2019,channel
FK,Fushi kandu,SNAP,FUL,2,2019,channel
FK,Fushi kandu,SNAP,FUR,14,2019,channel
FK,Fushi kandu,SNAP,GIB,21,2019,channel
FK,Fushi kandu,SNAP,KAS,48,2019,channel
FK,Fushi kandu,SNAP,MID,1,2019,channel
FK,Fushi kandu,SNAP,MONOS,23,2019,channel
FK,Fushi kandu,SNAP,RED,17,2019,channel
FK,Fushi kandu,TRIG,CLN,3,2019,channel
FK,Fushi kandu,TRIG,IND,37,2019,channel
FK,Fushi kandu,TRIG,OCN,2,2019,channel
FK,Fushi kandu,TRIG,STR,32,2019,channel
FK,Fushi kandu,TRIG,SUFB,5,2019,channel
FK,Fushi kandu,TRIG,SUFC,1,2019,channel
FK,Fushi kandu,TRIG,TIT,1,2019,channel
FK,Fushi kandu,TRIG,UNKNOWN,5,2019,channel
GI,Gaadhoo inside,BUT,AUR,3,2019,inside
GI,Gaadhoo inside,BUT,CIT,2,2019,inside
GI,Gaadhoo inside,BUT,GUT,3,2019,inside
GI,Gaadhoo inside,BUT,MEL,1,2019,inside
GI,Gaadhoo inside,BUT,MEY,3,2019,inside
GI,Gaadhoo inside,BUT,PHA,4,2019,inside
GI,Gaadhoo inside,BUT,PYR,3,2019,inside
GI,Gaadhoo inside,BUT,TFT,18,2019,inside
GI,Gaadhoo inside,BUT,TRI,8,2019,inside
GI,Gaadhoo inside,BUT,XAN,4,2019,inside
GI,Gaadhoo inside,EMP,MONO,7,2019,inside
GI,Gaadhoo inside,GRO,EPH,1,2019,inside
GI,Gaadhoo inside,GRO,ARG,23,2019,inside
GI,Gaadhoo inside,GRO,FAS,1,2019,inside
GI,Gaadhoo inside,GRO,LEO,1,2019,inside
GI,Gaadhoo inside,GRO,LEU,4,2019,inside
GI,Gaadhoo inside,GRO,MAC,1,2019,inside
GI,Gaadhoo inside,GRO,ROG,3,2019,inside
GI,Gaadhoo inside,GRO,SPIL,1,2019,inside
GI,Gaadhoo inside,PAR,BIC,3,2019,inside
GI,Gaadhoo inside,PAR,DUSKY,7,2019,inside
GI,Gaadhoo inside,PAR,FRENATUS,1,2019,inside
GI,Gaadhoo inside,PAR,LN,3,2019,inside
GI,Gaadhoo inside,PAR,ROSY,1,2019,inside
GI,Gaadhoo inside,PAR,SCABER,4,2019,inside
GI,Gaadhoo inside,PAR,SHEEPHEAD,17,2019,inside
GI,Gaadhoo inside,PAR,SORDID,8,2019,inside
GI,Gaadhoo inside,SNAP,CHEK,1,2019,inside
GI,Gaadhoo inside,SNAP,FUR,3,2019,inside
GI,Gaadhoo inside,TRIG,IND,15,2019,inside
GI,Gaadhoo inside,TRIG,STR,13,2019,inside
GI,Gaadhoo inside,TRIG,SUFB,1,2019,inside
GO,Gaadhoo outside,BUT,AUR,4,2019,outside
GO,Gaadhoo outside,BUT,CHEV,1,2019,outside
GO,Gaadhoo outside,BUT,CIT,6,2019,outside
GO,Gaadhoo outside,BUT,COL,4,2019,outside
GO,Gaadhoo outside,BUT,FAL,1,2019,outside
GO,Gaadhoo outside,BUT,GUT,7,2019,outside
GO,Gaadhoo outside,BUT,KLE,21,2019,outside
GO,Gaadhoo outside,BUT,LN,1,2019,outside
GO,Gaadhoo outside,BUT,MEL,1,2019,outside
GO,Gaadhoo outside,BUT,MEY,3,2019,outside
GO,Gaadhoo outside,BUT,TRI,1,2019,outside
GO,Gaadhoo outside,EMP,MONO,18,2019,outside
GO,Gaadhoo outside,GRO,ARG,11,2019,outside
GO,Gaadhoo outside,GRO,LEA,1,2019,outside
GO,Gaadhoo outside,GRO,LOU,1,2019,outside
GO,Gaadhoo outside,GRO,MAC,2,2019,outside
GO,Gaadhoo outside,GRO,MIN,10,2019,outside
GO,Gaadhoo outside,GRO,POL,1,2019,outside
GO,Gaadhoo outside,GRO,SEX,2,2019,outside
GO,Gaadhoo outside,GRO,SPIL,1,2019,outside
GO,Gaadhoo outside,PAR,3COLOR,5,2019,outside
GO,Gaadhoo outside,PAR,BARTAIL,2,2019,outside
GO,Gaadhoo outside,PAR,EMBER,3,2019,outside
GO,Gaadhoo outside,PAR,FRENATUS,6,2019,outside
GO,Gaadhoo outside,PAR,LNOSE,6,2019,outside
GO,Gaadhoo outside,SNAP,FUR,1,2019,outside
GO,Gaadhoo outside,SNAP,KAS,3,2019,outside
GO,Gaadhoo outside,SNAP,MID,7,2019,outside
GO,Gaadhoo outside,SNAP,MONO,7,2019,outside
GO,Gaadhoo outside,SNAP,RED,2,2019,outside
GO,Gaadhoo outside,TRIG,CLN,2,2019,outside
GO,Gaadhoo outside,TRIG,IND,22,2019,outside
GO,Gaadhoo outside,TRIG,NIG,1,2019,outside
GO,Gaadhoo outside,TRIG,STR,9,2019,outside
GO,Gaadhoo outside,TRIG,SUFB,8,2019,outside
GO,Gaadhoo outside,TRIG,SUFF,2,2019,outside
HC,Hithadhoo corner,BUT,CIT,8,2019,channel
HC,Hithadhoo corner,BUT,DECU,2,2019,channel
HC,Hithadhoo corner,BUT,KLE,8,2019,channel
HC,Hithadhoo corner,BUT,TFT,8,2019,channel
HC,Hithadhoo corner,BUT,XAN,1,2019,channel
HC,Hithadhoo corner,GRO,ARG,6,2019,channel
HC,Hithadhoo corner,GRO,COE,1,2019,channel
HC,Hithadhoo corner,GRO,LOU,2,2019,channel
