"","Site.name","Depth","Site.ID","Reef.type","Acropora","Other.Coral","Total.hard.coral","Bleached.Acropora","Bleached.other.coral","Total.bleached.coral","Diseased.Coral","Dead.Coral","Soft.Coral","Sponge","Turf","Halimeda","Other.algae","Total.Algae","Bare.rock","Sand","Rubble","Other","CCA","Anemone","Corallimorph","Anemone.Corallimorph"
"1","Baresdhoo inside","5m","BI","Inner",6.735,32.335,39.07,6.145,0.345,6.49,0,3.625,0,23.17,0.335,0,0,0.335,18.625,0.33,8.18,0.17,0,0,0,0
"2","Baresdhoo inside","10m","BI","Inner",10.315,8.075,18.39,2.17,0,2.17,0,2.545,0,1.015,1.2,1.75,0,2.95,8.6,34.47,29.835,0,0,0,0,0
"3","Fonadhoo inside","5m","FI","Inner",2.88,29.635,32.515,0.725,0,0.725,0,2.55,0,1.885,14.07,0.92,0.755,15.745,7.07,10.03,27.97,0.54,0.92,0,0,0
"4","Fonadhoo inside","10m","FI","Inner",0.85,48.465,49.315,1.135,0,1.135,0.165,6.59,0,0.505,8.17,0,0.19,8.36,1.825,12.73,16.02,0.19,3.115,0,0,0
"5","Fonadhoo outside","10m","FO","Outer",13.035,20.39,33.425,0,0,0,0.345,3.87,0,6.73,0,0,0,0,8.615,0,1.55,0.165,45.26,0,0,0
"6","Fonadhoo outside","15m","FO","Outer",9.005,25.675,34.68,0,0.165,0.165,0,3.955,0,22.17,0,0,0,0,19.74,0,0,0.17,19.055,0,0,0
"7","Fonagaadhoo outside","10m","FGO","Outer",2.265,40.725,42.99,0.345,0,0.345,0,4.145,0.17,3.08,1.36,4.41,0,5.77,21.91,1.89,9.415,0,10.21,0,0,0
"8","Fonagaadhoo outside","15m","FGO","Outer",1.85,34.875,36.725,0.17,0,0.17,0,1.875,3.835,9.86,0.18,4.825,0,5.005,20.38,1.275,18.985,0.33,1.53,0,0,0
"9","Fushi kandu","10m","FK","Channel",4.92,35.7,40.62,1.005,0,1.005,0.17,1.19,0,2.365,1.875,0.855,0,2.73,19.04,1.52,10.53,0.67,20.085,0,0,0
"10","Fushi kandu","15m","FK","Channel",6.02,25.915,31.935,0,0.165,0.165,0.165,1.89,0.17,6.63,8.205,10.145,0,18.35,23.83,0,14.135,0.34,2.35,0,0,0
"11","Gaadhoo corner","10m","GC","Channel",0.495,8.165,8.66,0,0,0,0,0.165,0,8.005,0,0,0,0,74.825,1.83,4.5,0,2,0,0,0
"12","Gaadhoo corner","15m","GC","Channel",5.915,32.115,38.03,0,0,0,0,0.165,0,0.83,1.2,0,0,1.2,41.935,5.39,12.43,0,0,0,0,0
"13","Gaadhoo inside","5m","GI","Inner",0,21.03,21.03,0,0,0,0,0,0.165,0.165,0,0.33,0,0.33,35.76,0,41.35,0,1.185,0,0,0
"14","Gaadhoo inside","10m","GI","Inner",0.665,28.14,28.805,0,0,0,0,0.5,0,1,0,1.175,0,1.175,24.965,2.16,40.87,0.335,0.165,0,0,0
"15","Gaadhoo outside","10m","GO","Outer",0.865,10.18,11.045,0,0,0,0,0,0,6.955,0,0,0,0,75.49,0,0.5,0,6.02,0,0,0
"16","Gaadhoo outside","15m","GO","Outer",1.51,13.405,14.915,0,0,0,0,0.345,0,6.26,0,0,0.355,0.355,77.28,0,0.675,0.165,0,0,0,0
"17","Hassanhaa","5m","HH","Thila",19.645,28.535,48.18,0,0,0,0,8.63,0.345,14.7,5.645,0.37,0,6.015,9.525,3.735,7.395,0.345,1.07,0,0,0
"18","Hassanhaa","10m","HH","Thila",1.52,7.515,9.035,0,0,0,0,0.665,0,1.345,0,0,0,0,84.59,0,0.165,0,4.185,0,0,0
"19","Hithadhoo corner","10m","HC","Channel",0,12.78,12.78,0,0,0,0,0.385,0,4.42,0,0,0,0,76.03,0.385,5.985,0,0,0,0,0
"20","Hithadhoo corner","15m","HC","Channel",3.925,20.275,24.2,0,0,0,0,0.17,0,2.705,0,0,0.165,0.165,57.21,0,15.02,0.505,0,0,0,0
"21","Hithadhoo inside","5m","HI","Inner",7.68,8.67,16.35,0,0,0,0,2.695,0,8.675,0,0,0,0,60.525,0,11.585,0.165,0,0,0,0
"22","Hithadhoo inside","10m","HI","Inner",0.665,20.15,20.815,0,0,0,0,0.33,0,5.07,0,0,0,0,59.275,2.52,10.64,0.165,1.165,0,0,0
"23","Hithadhoo west","10m","HW","Outer",21.76,33.285,55.045,0.335,0,0.335,0,2.815,0,0.33,4.61,2.4,0,7.01,17.35,4.9,11.805,0.335,0,0,0,0
"24","Hithadhoo west","15m","HW","Outer",6.255,13.785,20.04,0,0,0,0,0.345,0,7.815,0.84,1.51,0.165,2.515,53.62,0,15.29,0.33,0,0,0,0
"25","Isdhoo muli","10m","IM","Outer",2.04,23.61,25.65,0.165,0,0.165,0,1.515,0,4.08,0.165,0,0,0.165,49.075,0.665,17.12,0.165,1.345,0,0,0
"26","Isdhoo muli","15m","IM","Outer",3.83,24.975,28.805,0,0,0,0,1.995,0,7.68,0,0,0,0,42.755,0,17.725,0,1,0,0,0
"27","Kuda falhu","5m","KF","Thila",0.85,7.4,8.25,1.495,1.015,2.675,0,2.535,0,0.335,1.52,0,0.69,2.21,18.285,1.025,31.665,0.17,0.5,0.345,31.96,32.305
