"","Site.ID","Site","Depth","Reef type","year","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"1","FI","Fonadhoo inside","10m","Inner","2021/22",75.9,0,0,0,3.4,0,6.9,3.4,0,10.3,0
"2","FI","Fonadhoo inside","10m","Inner","2021/22",68,0,8,0,8,0,8,4,0,0,4
"3","FI","Fonadhoo inside","10m","Inner","2021/22",15.4,0,3.8,0,0,0,7.7,3.8,3.8,53.8,11.5
"4","FI","Fonadhoo inside","10m","Inner","2021/22",0,0,0,0,0,0,27.6,0,31,41.4,0
"5","FI","Fonadhoo inside","10m","Inner","2021/22",50,0,0,3.3,0,0,10,0,20,16.7,0
"6","FI","Fonadhoo inside","10m","Inner","2021/22",17.2,0,0,0,3.4,0,17.2,0,55.2,6.9,0
"7","FI","Fonadhoo inside","10m","Inner","2021/22",61.5,0,0,0,15.4,0,3.8,3.8,0,11.5,3.8
"8","FI","Fonadhoo inside","10m","Inner","2021/22",72.4,0,0,0,13.8,0,0,3.4,0,10.3,0
"9","FI","Fonadhoo inside","10m","Inner","2021/22",69,0,0,0,13.8,0,0,0,17.2,0,0
"10","FI","Fonadhoo inside","10m","Inner","2021/22",51.7,0,0,0,37.9,0,0,0,6.9,0,3.4
"11","FI","Fonadhoo inside","10m","Inner","2021/22",48.1,0,0,0,0,0,7.4,7.4,7.4,25.9,3.7
"12","FI","Fonadhoo inside","10m","Inner","2021/22",55.6,0,0,0,3.7,0,11.1,3.7,0,25.9,0
"13","FI","Fonadhoo inside","10m","Inner","2021/22",58.6,0,6.9,0,0,3.4,13.8,0,3.4,6.9,6.9
"14","FI","Fonadhoo inside","10m","Inner","2021/22",43.3,0,0,0,3.3,0,10,3.3,16.7,13.3,10
"15","FI","Fonadhoo inside","10m","Inner","2021/22",48.1,0,0,0,0,0,25.9,3.7,0,14.8,7.4
"16","FI","Fonadhoo inside","10m","Inner","2021/22",55.2,0,0,0,6.9,0,0,0,20.7,13.8,3.4
"17","FI","Fonadhoo inside","10m","Inner","2021/22",77.8,0,0,0,22.2,0,0,0,0,0,0
"18","FI","Fonadhoo inside","10m","Inner","2021/22",11.1,0,0,0,0,0,11.1,0,55.6,22.2,0
"19","FI","Fonadhoo inside","10m","Inner","2021/22",84,0,4,0,0,0,0,0,0,0,12
"20","FI","Fonadhoo inside","10m","Inner","2021/22",23.4,0,0,0,0,6.7,6.7,0,16.7,46.7,0
"21","FI","Fonadhoo inside","5m","Inner","2021/22",22.2,0,0,0,3.7,0,25.9,3.7,7.4,37,0
"22","FI","Fonadhoo inside","5m","Inner","2021/22",17.9,0,0,0,14.3,0,17.9,3.6,17.9,28.6,0
"23","FI","Fonadhoo inside","5m","Inner","2021/22",37,0,0,0,0,0,44.4,14.8,0,3.7,0
"24","FI","Fonadhoo inside","5m","Inner","2021/22",43.3,0,0,0,0,0,26.6,0,13.3,13.3,3.3
"25","FI","Fonadhoo inside","5m","Inner","2021/22",8,0,0,0,0,0,28,4,4,56,0
"26","FI","Fonadhoo inside","5m","Inner","2021/22",50,0,0,0,0,0,26.7,0,13.3,10,0
"27","FI","Fonadhoo inside","5m","Inner","2021/22",50,0,3.8,0,0,3.8,15.4,3.8,11.5,11.5,0
"28","FI","Fonadhoo inside","5m","Inner","2021/22",17.9,0,0,0,0,0,7.1,3.6,0,71.4,0
"29","FI","Fonadhoo inside","5m","Inner","2021/22",13.3,0,0,0,0,0,16.7,3.3,30,36.7,0
"30","FI","Fonadhoo inside","5m","Inner","2021/22",46.4,0,3.6,0,0,3.6,28.6,7.1,7.1,3.6,0
"31","FI","Fonadhoo inside","5m","Inner","2021/22",22.2,0,0,0,0,3.7,44.4,7.4,11.1,7.4,3.7
"32","FI","Fonadhoo inside","5m","Inner","2021/22",38.5,0,0,0,0,15.4,0,11.5,11.5,15.4,7.6
"33","FI","Fonadhoo inside","5m","Inner","2021/22",11.5,0,0,0,0,3.8,19.2,23.1,0,34.6,7.7
"34","FI","Fonadhoo inside","5m","Inner","2021/22",13.3,0,0,0,0,0,3.3,6.7,53.3,20,3.3
"35","FI","Fonadhoo inside","5m","Inner","2021/22",50,0,7.1,0,7.1,0,3.6,25,0,3.6,3.6
