"","Site.name","Depth","Rep","Biomass","Reef.type","Total.coral"
"1","Baresdhoo inside",5,"Rep1",266.286466252842,"Inner",38.92
"2","Baresdhoo inside",5,"Rep2",51.8748225515217,"Inner",39.22
"3","Baresdhoo inside",10,"Rep1",62.0881300220392,"Inner",23.14
"4","Baresdhoo inside",10,"Rep2",502.783976730406,"Inner",13.64
"5","Fonadhoo inside",5,"Rep1",113.111507805462,"Inner",30.6
"6","Fonadhoo inside",5,"Rep2",98.0466553802439,"Inner",34.43
"7","Fonadhoo inside",10,"Rep1",108.404855774333,"Inner",48.11
"8","Fonadhoo inside",10,"Rep2",389.011141794107,"Inner",50.52
"9","Fonadhoo outside",10,"Rep1",472.522068965517,"Outer",37.8
"10","Fonadhoo outside",10,"Rep2",188.196330645161,"Outer",29.05
"11","Fonadhoo outside",15,"Rep1",433.262365591398,"Outer",36.07
"12","Fonadhoo outside",15,"Rep2",276.191388888889,"Outer",33.29
"13","Fonagaadhoo outside",10,"Rep1",614.93947335307,"Outer",37.68
"14","Fonagaadhoo outside",10,"Rep2",428.942168971232,"Outer",48.3
"15","Fonagaadhoo outside",15,"Rep1",177.3776597408,"Outer",44.7
"16","Fonagaadhoo outside",15,"Rep2",790.754866955556,"Outer",28.75
"17","Fushi kandu",10,"Rep1",311.320535125217,"Channel",51.21
"18","Fushi kandu",10,"Rep2",267.727572771707,"Channel",30.03
"19","Fushi kandu",15,"Rep1",543.086505643333,"Channel",32.82
"20","Fushi kandu",15,"Rep2",655.718426753016,"Channel",31.05
"21","Gaadhoo corner",10,"Rep1",2683.30442666667,"Channel",2.01
"22","Gaadhoo corner",10,"Rep2",3548.60310266667,"Channel",15.31
"23","Gaadhoo corner",15,"Rep1",643.038340333333,"Channel",36.01
"24","Gaadhoo corner",15,"Rep2",200.82936669125,"Channel",40.05
"25","Gaadhoo inside",5,"Rep1",792.935600805,"Inner",22.27
"26","Gaadhoo inside",5,"Rep2",687.693229079273,"Inner",19.79
"27","Gaadhoo inside",10,"Rep1",752.474669628333,"Inner",30.14
"28","Gaadhoo inside",10,"Rep2",495.896477372742,"Inner",27.47
"29","Gaadhoo outside",10,"Rep1",839.3488654628,"Outer",9.75
"30","Gaadhoo outside",10,"Rep2",2036.25011108333,"Outer",12.34
"31","Gaadhoo outside",15,"Rep1",1123.50535802857,"Outer",9.38
"32","Gaadhoo outside",15,"Rep2",934.627697232432,"Outer",20.45
"33","Hassanhaa",5,"Rep1",220.765730616581,"Thila",41.31
"34","Hassanhaa",5,"Rep2",117.0104844148,"Thila",55.05
"35","Hassanhaa",10,"Rep1",443.698074464483,"Thila",12.06
"36","Hassanhaa",10,"Rep2",264.412858434828,"Thila",6.01
"37","Hithadhoo corner",10,"Rep1",2672.13892829579,"Channel",6.45
"38","Hithadhoo corner",10,"Rep2",2892.98995525,"Channel",19.11
"39","Hithadhoo corner",15,"Rep1",389.179798393276,"Channel",21.57
"40","Hithadhoo corner",15,"Rep2",2845.137404,"Channel",26.83
"41","Hithadhoo inside",5,"Rep1",526.335268707407,"Inner",13.71
"42","Hithadhoo inside",5,"Rep2",379.637407451613,"Inner",18.99
"43","Hithadhoo inside",10,"Rep1",417.951120827333,"Inner",21.34
"44","Hithadhoo inside",10,"Rep2",206.901518488615,"Inner",20.29
"45","Hithadhoo west",10,"Rep1",941.152101427895,"Outer",54.43
"46","Hithadhoo west",10,"Rep2",2581.54386746667,"Outer",55.66
"47","Hithadhoo west",15,"Rep1",492.75579237,"Outer",20.4
"48","Hithadhoo west",15,"Rep2",307.609156254545,"Outer",19.68
"49","Isdhoo muli",10,"Rep1",530.268227726389,"Outer",28.95
"50","Isdhoo muli",10,"Rep2",692.359795044876,"Outer",22.35
"51","Isdhoo muli",15,"Rep1",199.360907159492,"Outer",20.71
"52","Isdhoo muli",15,"Rep2",418.485322232958,"Outer",36.9
"53","Kuda falhu",5,"Rep1",2077.42105263158,"Thila",11.46
"54","Kuda falhu",5,"Rep2",1921,"Thila",5.04
"55","Kuda falhu",10,"Rep1",325.31608405301,"Thila",14.44
"56","Kuda falhu",10,"Rep2",232.831625992081,"Thila",8.81
"57","Kurethi outside",10,"Rep1",150.716382978723,"Outer",19.11
"58","Kurethi outside",10,"Rep2",177.361964285714,"Outer",9.71
"59","Kurethi outside",15,"Rep1",207.694827586207,"Outer",22.07
"60","Kurethi outside",15,"Rep2",145.162807017544,"Outer",16.7
"61","Laamafaruhaa",5,"Rep1",335.165314994286,"Thila",31.45
"62","Laamafaruhaa",5,"Rep2",434.694395568532,"Thila",22.08
"63","Laamafaruhaa",10,"Rep1",523.975778046607,"Thila",30.66
"64","Laamafaruhaa",10,"Rep2",354.751376785367,"Thila",19.86
"65","Maabaidhoo inside",5,"Rep1",314.468526077952,"Inner",24.84
"66","Maabaidhoo inside",5,"Rep2",133.166267625,"Inner",31.74
"67","Maabaidhoo inside",10,"Rep1",678.640854051282,"Inner",24.21
"68","Maabaidhoo inside",10,"Rep2",134.238075439259,"Inner",33.36
