site,depth,replicate_no,family,species,size,biomass
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,44837,3.7
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
