site,reef_type,family,species,biomass,importance
baresdhoo_outside,outside,EMP,OBS,29925,com
baresdhoo_outside,outside,GRO,LEU,7386,com
baresdhoo_outside,outside,RAB,STR,4758.1122,com
baresdhoo_outside,outside,PAR,SORDID,4260.331831,eco
baresdhoo_outside,outside,GRO,ARG,4247,com
baresdhoo_outside,outside,SNAP,GIB,3170,com
baresdhoo_outside,outside,PAR,DUSKY,2674.177524,eco
baresdhoo_outside,outside,T&J,MEL,2004.848562,com
baresdhoo_outside,outside,SNAP,FUR,1539,com
baresdhoo_outside,outside,GRO,ROG,1477,com
baresdhoo_outside,outside,GRO,SEX,997.9985,com
baresdhoo_outside,outside,EMP,MONO,758,com
baresdhoo_outside,outside,PAR,2 COLOUR,701.058171,eco
baresdhoo_outside,outside,SNAP,RED,683,com
baresdhoo_outside,outside,PAR,BLUEBAR,514.9041116,eco
baresdhoo_outside,outside,GRO,LEO,103,com
baresdhoo_outside,outside,PAR,3 COLOUR,99.9213819,eco
baresdhoo_outside,outside,RAB,SGR,95.5041282,com
baresdhoo_outside,outside,EMP,AUR,76,com
baresdhoo_outside,outside,GRO,BOE,71.1887481,com
fonadhoo_inside,inside,RAB,LIN,4224.948696,com
fonadhoo_inside,inside,GRO,ROG,4184,com
fonadhoo_inside,inside,GRO,ARG,3388,com
fonadhoo_inside,inside,EMP,OLI,2608,com
fonadhoo_inside,inside,GRO,LEU,2319,com
fonadhoo_inside,inside,GRO,MIN,2261,com
fonadhoo_inside,inside,PAR,SORDID,1698.222645,eco
fonadhoo_inside,inside,EMP,G.MIC,1002,com
fonadhoo_inside,inside,PAR,FRENATUS,784.87496,eco
fonadhoo_inside,inside,EMP,AUR,760,com
fonadhoo_inside,inside,PAR,DUSKY,747.7484077,eco
fonadhoo_inside,inside,SNAP,MONOS,686,com
fonadhoo_inside,inside,PAR,LNOSE,599.8094279,eco
fonadhoo_inside,inside,SNAP,KAS,566,com
fonadhoo_inside,inside,PAR,EMBER,487.726442,eco
fonadhoo_inside,inside,SNAP,FUL,396,com
fonadhoo_inside,inside,SNAP,IND2,378,com
fonadhoo_inside,inside,SNAP,FUR,333,com
fonadhoo_inside,inside,GRO,MER,266,com
fonadhoo_inside,inside,GRO,FAS,253.945824,com
fonadhoo_inside,inside,GRO,ALBO,226,com
fonadhoo_inside,inside,T&J,CAE,193.1201576,com
fonadhoo_inside,inside,PAR,STEEPHEAD,165.4862992,eco
fonadhoo_inside,inside,T&J,BLOCH,157.4253802,com
fonadhoo_inside,inside,T&J,MEL,142.8108788,com
fonadhoo_inside,inside,GRO,LEO,103,com
fonadhoo_inside,inside,PAR,ROSY,89.5457883,eco
fonadhoo_inside,inside,PAR,GFACE,82.7431496,eco
fonadhoo_inside,inside,PAR,2 COLOUR,58.3531213,eco
fonadhoo_inside,inside,GRO,LOU,49,com
fonadhoo_inside,inside,RAB,SGR,18.4796103,com
fonadhoo_inside,inside,RAB,STR,7.3822796,com
fonadhoo_inside,inside,PAR,BLUEBAR,3.70470881,eco
fonadhoo_outside,outside,SNAP,KAS,63741,com
fonadhoo_outside,outside,PAR,LNOSE,19467.6,eco
fonadhoo_outside,outside,SNAP,GIB,12046,com
fonadhoo_outside,outside,EMP,MONO,8824,com
fonadhoo_outside,outside,PAR,2 COLOUR,7566.13,eco
fonadhoo_outside,outside,SNAP,MONOS,7254,com
fonadhoo_outside,outside,PAR,STEEPHEAD,4654.36,eco
fonadhoo_outside,outside,GRO,ARG,4609,com
fonadhoo_outside,outside,T&J,MEL,2788,com
fonadhoo_outside,outside,SNAP,FUL,1980,com
fonadhoo_outside,outside,GRO,LOU,1921,com
fonadhoo_outside,outside,SNAP,IND2,1689,com
fonadhoo_outside,outside,PAR,SORDID,1622.85,eco
fonadhoo_outside,outside,PAR,3 COLOUR,1039.18,eco
