"","Site.id","Site.name","Family","Species","count","year","reef.type","Status"
"1","FI","Fonadhoo inside","EMP","AUR",3,"2019","inside","COM"
"2","FI","Fonadhoo inside","EMP","MONO",14,"2019","inside","COM"
"3","FI","Fonadhoo inside","EMP","OBS",1,"2019","inside","COM"
"4","FI","Fonadhoo inside","GRO","EPH",2,"2019","inside","COM"
"5","FI","Fonadhoo inside","GRO","ARG",35,"2019","inside","COM"
"6","FI","Fonadhoo inside","GRO","FUS",1,"2019","inside","COM"
"7","FI","Fonadhoo inside","GRO","LEA",1,"2019","inside","COM"
"8","FI","Fonadhoo inside","GRO","LEO",3,"2019","inside","COM"
"9","FI","Fonadhoo inside","GRO","LEU",2,"2019","inside","COM"
"10","FI","Fonadhoo inside","GRO","MIN",4,"2019","inside","COM"
"11","FI","Fonadhoo inside","GRO","ROG",7,"2019","inside","COM"
"12","FI","Fonadhoo inside","GRO","SON",2,"2019","inside","COM"
"13","FI","Fonadhoo inside","SNAP","FUR",3,"2019","inside","COM"
"14","FI","Fonadhoo inside","SNAP","GIB",50,"2019","inside","COM"
"15","FI","Fonadhoo inside","SNAP","IND",1,"2019","inside","COM"
"16","FI","Fonadhoo inside","SNAP","MID",3,"2019","inside","COM"
"17","FI","Fonadhoo inside","SNAP","MONOS",12,"2019","inside","COM"
"18","FI","Fonadhoo inside","SNAP","RED",2,"2019","inside","COM"
"19","FO","Fonadhoo outside","EMP","AUR",31,"2019","outside","COM"
"20","FO","Fonadhoo outside","EMP","MONO",10,"2019","outside","COM"
"21","FO","Fonadhoo outside","GRO","EPH",1,"2019","outside","COM"
"22","FO","Fonadhoo outside","GRO","ARG",18,"2019","outside","COM"
"23","FO","Fonadhoo outside","GRO","COE ",1,"2019","outside","COM"
"24","FO","Fonadhoo outside","GRO","LEA",1,"2019","outside","COM"
"25","FO","Fonadhoo outside","GRO","LEU",1,"2019","outside","COM"
"26","FO","Fonadhoo outside","GRO","LOU",1,"2019","outside","COM"
"27","FO","Fonadhoo outside","GRO","ROGA",3,"2019","outside","COM"
"28","FO","Fonadhoo outside","GRO","SON",1,"2019","outside","COM"
"29","FO","Fonadhoo outside","SNAP","BLACK",5,"2019","outside","COM"
"30","FO","Fonadhoo outside","SNAP","CHECK",2,"2019","outside","COM"
"31","FO","Fonadhoo outside","SNAP","FUR",2,"2019","outside","COM"
"32","FO","Fonadhoo outside","SNAP","GIB",64,"2019","outside","COM"
"33","FO","Fonadhoo outside","SNAP","KAS",22,"2019","outside","COM"
"34","FO","Fonadhoo outside","SNAP","MONO",8,"2019","outside","COM"
"35","FO","Fonadhoo outside","SNAP","RED",8,"2019","outside","COM"
"36","FK","Fushi kandu","EMP","MONO",1,"2019","channel","COM"
"37","FK","Fushi kandu","EMP","OLI",5,"2019","channel","COM"
"38","FK","Fushi kandu","GRO","EPH",3,"2019","channel","COM"
"39","FK","Fushi kandu","GRO","ALBO",7,"2019","channel","COM"
"40","FK","Fushi kandu","GRO","ARE",6,"2019","channel","COM"
"41","FK","Fushi kandu","GRO","ARG",43,"2019","channel","COM"
"42","FK","Fushi kandu","GRO","COE",10,"2019","channel","COM"
"43","FK","Fushi kandu","GRO","LEA",6,"2019","channel","COM"
"44","FK","Fushi kandu","GRO","LEO",4,"2019","channel","COM"
"45","FK","Fushi kandu","GRO","LOU",1,"2019","channel","COM"
"46","FK","Fushi kandu","GRO","MAC",3,"2019","channel","COM"
"47","FK","Fushi kandu","GRO","MER",2,"2019","channel","COM"
