Site,2019.cover,2022.cover,Difference,perc.change,rate.change,2019.impacts,2022.impacts,impacts.diff,impacts.change,impacts.rate
Fonadhoo inside,21.92,40.92,19,86.66,0.87,35,45,10,28.57,0.29
Fonadhoo outside,15.33,34.05,18.72,122.13,1.22,0,8,8,100,1
Fushi kandu,16.03,36.28,20.25,126.31,1.26,26,76,50,192.31,1.92
Gaadhoo inside,26.795,24.92,-1.88,-7.01,-0.07,20,53,33,165,1.65
Gaadhoo outside,10.58,12.98,2.4,22.68,0.23,4,12,8,200,2
Hithadhoo corner,6.93,18.49,11.56,166.81,1.67,4,33,29,725,7.25
Hithadhoo inside,18.7475,18.58,-0.16,-0.88,-0.01,58,186,128,220.69,2.21
Hithadhoo west,18.81,37.54,18.73,99.59,1,3,25,22,733.33,7.33
Kurethi outside,10.35,16.9,6.55,63.26,0.63,5,3,-2,-40,-0.4
Laamafaruhaa,13.84,26.01,12.17,87.95,0.88,8,22,14,175,1.75
Maabaidhoo inside,34.46,28.54,-5.92,-17.19,-0.17,5,56,51,1020,10.2
Maabaidhoo outside,18.92,20.6,1.68,8.89,0.09,6,117,111,1850,18.5
Maavah corner,23.53,30.88,7.35,31.25,0.31,29,21,-8,-27.59,-0.28
Maavah inside,7.87,40.46,32.59,414.14,4.14,64,30,-34,-53.13,-0.53
Maavah outside,26.84,12.99,-13.85,-51.61,-0.52,4,0,-4,-100,-1
Olhutholhu inside,14.52,25.7,11.18,76.96,0.77,3,61,58,1933.33,19.33
Olhuveli corner,9.83,14.49,4.66,47.36,0.47,6,21,15,250,2.5
Olhuveli reef,8.6,28.08,19.48,226.51,2.27,22,27,5,22.73,0.23
Rahdhashuhaa,20.47,41.95,21.48,104.93,1.05,5,24,19,380,3.8
