"","Site.id","Site.name","Family","Species","count","year","reef.type","Status"
"1","FI","Fonadhoo inside","BUT","AUR",5,"2019","inside","ECO"
"2","FI","Fonadhoo inside","BUT","FAL",6,"2019","inside","ECO"
"3","FI","Fonadhoo inside","BUT","LUN",6,"2019","inside","ECO"
"4","FI","Fonadhoo inside","BUT","TFT",24,"2019","inside","ECO"
"5","FI","Fonadhoo inside","BUT","TRI",6,"2019","inside","ECO"
"6","FI","Fonadhoo inside","PAR","3COLOR",1,"2019","inside","ECO"
"7","FI","Fonadhoo inside","PAR","DUSKY",4,"2019","inside","ECO"
"8","FI","Fonadhoo inside","PAR","GFACE",1,"2019","inside","ECO"
"9","FI","Fonadhoo inside","PAR","LNOSE",5,"2019","inside","ECO"
"10","FI","Fonadhoo inside","PAR","SORDID",25,"2019","inside","ECO"
"11","FI","Fonadhoo inside","TRIG","STR",11,"2019","inside","ECO"
"12","FI","Fonadhoo inside","TRIG","SUFC",1,"2019","inside","ECO"
"13","FO","Fonadhoo outside","BUT","AUR",3,"2019","outside","ECO"
"14","FO","Fonadhoo outside","BUT","CIT",2,"2019","outside","ECO"
"15","FO","Fonadhoo outside","BUT","GUT",13,"2019","outside","ECO"
"16","FO","Fonadhoo outside","BUT","MEY",1,"2019","outside","ECO"
"17","FO","Fonadhoo outside","BUT","TFT",5,"2019","outside","ECO"
"18","FO","Fonadhoo outside","BUT","TRI",1,"2019","outside","ECO"
"19","FO","Fonadhoo outside","BUT","XAN",2,"2019","outside","ECO"
"20","FO","Fonadhoo outside","PAR","BLTIP",2,"2019","outside","ECO"
"21","FO","Fonadhoo outside","PAR","ECLIPSE",2,"2019","outside","ECO"
"22","FO","Fonadhoo outside","PAR","LNOSE",1,"2019","outside","ECO"
"23","FO","Fonadhoo outside","PAR","SCABER",7,"2019","outside","ECO"
"24","FO","Fonadhoo outside","PAR","SORDID",30,"2019","outside","ECO"
"25","FO","Fonadhoo outside","TRIG","IND",4,"2019","outside","ECO"
