site,gps_coordinates,date,start_time,end_time,depth,replicate_no,family,species,size,biomass
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:36,10:54,5,1,PAR,SORDID,03-Oct,3.70
