Site.name,Site.ID,Site.Code,Depth,Reef.type,Photo Name,Anemone,Corallimorph,Bare rock,Acropora,Bleached Acropora,Bleached Coral,Colourful bleaching,Coral,Sponge,Halimeda,Other Algae,Turf,Crustose coralline algae,Rubble,Sand,Soft Coral,Dead Standing Coral,Other live,Diseased coral,Shadow,Tape,Wand,Sum.excl.TWS
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_01.jpg,0,0,0,0,0,0,0,7.1,0,0,0,10.7,0,17.9,64.3,0,0,0,0,0,6.7,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_02.jpg,0,0,16.7,23.3,16.7,0,0,20,0,0,0,0,0,3.3,20,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_03.jpg,0,0,6.7,0,6.7,0,0,13.3,0,0,0,10,0,56.7,6.7,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_04.jpg,0,0,6.7,0,10,0,0,13.3,0,0,0,0,0,10,56.7,0,3.3,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_05.jpg,0,0,0,20,0,0,0,3.3,0,0,0,0,0,46.7,20,0,10,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_06.jpg,0,0,30,0,0,0,0,13.3,6.7,0,0,3.3,0,23.3,23.3,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_07.jpg,0,0,6.7,0,0,0,0,20,0,0,0,0,0,50,23.3,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_08.jpg,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,10.3,82.8,0,0,0,0,0,3.3,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_09.jpg,0,0,14.3,17.9,0,0,0,17.9,0,25,0,0,0,3.6,7.1,0,14.3,0,0,0,6.7,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep1_10.jpg,0,0,27.6,55.2,0,0,0,3.4,10.3,0,0,0,0,3.4,0,0,0,0,0,0,3.3,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_01.jpg,0,0,6.7,16.7,3.3,0,0,0,0,0,0,0,0,33.3,36.7,0,3.3,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_02.jpg,0,0,3.3,0,0,0,0,0,0,0,0,0,0,46.7,50,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_03.jpg,0,0,3.3,33.3,0,0,0,6.7,0,0,0,0,0,0,50,0,6.7,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_04.jpg,0,0,3.3,0,0,0,0,13.3,0,0,0,0,0,23.3,60,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,51.9,0,0,0,0,0,10,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_06.jpg,0,0,0,3.3,0,0,0,3.3,0,0,0,0,0,20,70,0,3.3,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_07.jpg,0,0,3.3,3.3,0,0,0,3.3,0,0,0,0,0,66.7,23.3,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_08.jpg,0,0,0,0,0,0,0,3.3,0,0,0,0,0,76.7,20,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_09.jpg,0,0,10,10,0,0,0,3.3,0,10,0,0,0,36.7,20,0,10,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_10m,10m,Inner,BI_10m_Rep2_10.jpg,0,0,30,23.3,6.7,0,0,13.3,3.3,0,0,0,0,20,3.3,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_01.jpg,0,0,6.7,10,6.7,0,0,20,16.7,0,0,0,0,26.7,0,0,13.3,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_02.jpg,0,0,21.4,0,14.3,0,0,50,7.1,0,0,0,0,0,0,0,7.1,0,0,6.7,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_03.jpg,0,0,25,0,0,0,0,17.9,46.4,0,0,0,0,10.7,0,0,0,0,0,6.7,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_04.jpg,0,0,10,13.3,10,0,0,16.7,20,0,0,3.3,0,26.7,0,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_05.jpg,0,0,3.3,3.3,20,0,0,50,10,0,0,0,0,6.7,0,0,6.7,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_06.jpg,0,0,42.9,0,10.7,0,0,14.3,25,0,0,0,0,3.6,0,0,3.6,0,0,6.7,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_07.jpg,0,0,16.7,10,0,0,0,43.3,26.7,0,0,0,0,0,3.3,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_08.jpg,0,0,14.8,14.8,0,0,0,55.6,14.8,0,0,0,0,0,0,0,0,0,0,3.3,6.7,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_09.jpg,0,0,0,3.3,6.7,0,0,16.7,66.7,0,0,0,0,6.7,0,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep1_10.jpg,0,0,7.1,3.6,0,0,0,46.4,39.3,0,0,0,0,0,0,0,3.6,0,0,6.7,0,0,100
