,Site,year,Site.ID,Reef type,Hard coral,Soft coral,Bleached coral,Diseased coral,Dead coral,Sponge,Algae,Bare rock,Sand,Rubble,Other
1,Fonadhoo inside,2021/22,FI,Inner,40.915,0,0.93,0.0825,4.57,1.195,12.0525,4.4475,11.38,21.995,2.3825
2,Fonadhoo inside,2019,FI,Inner,21.9825,10.5925,0.165,0,4.94,0.1675,0.4375,17.895,23.5225,18.4575,1.7975
3,Fonadhoo outside,2021/22,FO,Outer,34.0525,0,0.0825,0.1725,3.9125,14.45,0,14.1775,0,0.775,32.325
4,Fonadhoo outside,2019,FO,Outer,15.33,0,0,0,4.24,0.2475,0,77.2525,1.165,1.7475,0
5,Fushi kandu,2021/22,FK,Channel,36.2775,0.085,0.585,0.1675,1.54,4.4975,10.54,21.435,0.76,12.3325,11.7225
6,Fushi kandu,2019,FK,Channel,16.0525,0,0.165,0,1.7475,0.6675,1.245,73.165,1.5,5.3375,0.0825
7,Gaadhoo inside,2021/22,GI,Inner,24.9175,0.0825,0,0,0.25,0.5825,0.7525,30.3625,1.08,41.11,0.8425
8,Gaadhoo inside,2019,GI,Inner,26.795,0.0825,0.255,0,1.26,0.175,1.02,26.505,24.0225,19.6025,0.25
9,Gaadhoo outside,2021/22,GO,Outer,12.98,0,0,0,0.1725,6.6075,0.1775,76.385,0,0.5875,3.0925
10,Gaadhoo outside,2019,GO,Outer,10.5725,0,0,0,0.3325,0.1675,6.7475,76.09,5.4975,0.25,0.3325
11,Hithadhoo corner,2021/22,HC,Channel,18.49,0,0,0,0.2775,3.5625,0.0825,66.62,0.1925,10.5025,0.2525
12,Hithadhoo corner,2019,HC,Channel,6.9925,0,0,0,0.0825,0.5,0,64.6625,24.7425,2.835,0.165
13,Hithadhoo inside,2021/22,HI,Inner,18.5825,0,0,0,1.5125,6.8725,0,59.9,1.26,11.1125,0.7475
14,Hithadhoo inside,2019,HI,Inner,18.7475,0.1725,0.185,0,1.6575,0.7875,3.0325,49.4025,5.255,20.34,0.415
15,Hithadhoo west,2021/22,HW,Outer,37.5425,0,0.1675,0,1.58,4.0725,4.7625,35.485,2.45,13.5475,0.3325
16,Hithadhoo west,2019,HW,Outer,18.8825,0,0,0,1.165,1.005,0,77.9375,1,0,0
17,Kurethi outside,2021/22,KO,Outer,16.8975,0,0,0,1.16,9.84,6.3,46.97,0.1825,2.25,16.365
18,Kurethi outside,2019,KO,Outer,10.3375,0,0.5,0,1.5,0,3.0075,81.47,2.25,0.915,0
19,Laamafaruhaa,2021/22,LF,Thila,26.0125,0.2575,0.25,0,4.4425,4.705,2.8325,27.26,0.63,32.4025,1.185
20,Laamafaruhaa,2019,LF,Thila,13.9025641,0.358974359,1.515384615,0,22,0.984615385,0.8,31.82051282,6.584615385,20.07435897,1.915384615
21,Maabaidhoo inside,2021/22,MBI,Inner,28.5375,0.0825,4.4375,0.2525,1.44,7.3425,1.095,36.3275,1.25,19.1125,0.0825
22,Maabaidhoo inside,2019,MBI,Inner,34.36,0,0.085,0,0.75,0,0.17,40.4425,12.8875,9.9425,1.35
23,Maabaidhoo outside,2021/22,MBO,Outer,20.6025,0.255,1.73,0.085,0.595,2.87,13.6125,29.8225,1.93,18.67,9.7475
24,Maabaidhoo outside,2019,MBO,Outer,18.9675,0,0.1675,0,1.95,0.3425,0.5025,56.63,5.3725,15.8175,0.25
25,Maavah corner,2021/22,MC,Channel,30.8825,0,0,0,1.535,8.0025,4.875,43.2675,0.51,6.64,4.235
26,Maavah corner,2019,MC,Channel,23.6325,0,0.4975,0,2.3425,1.0875,4.275,64.555,2.2575,1.0825,0.2575
27,Maavah inside,2021/22,MI,Inner,40.4625,0,0,0,6.83,0.0825,6.615,12.5225,13.4275,19.865,0.1675
28,Maavah inside,2019,MI,Inner,7.91,12.5725,0,0,12.6225,0.5075,0.3375,19.7475,21.32,20.3275,4.6275
29,Maavah outside,2021/22,MO,Outer,12.9875,0,0,0,0.7075,10.0275,2.255,62.7525,0.085,6.6425,4.51
30,Maavah outside,2019,MO,Outer,26.7425,0,0.675,0,1.6225,2.035,8.905,55.9275,2.74,1.08,0.2475
31,Olhutholhu inside,2021/22,OI,Inner,25.695,0.0825,0,0,5.3475,3.8975,0.6025,34.15,8.8525,19.135,2.22
32,Olhutholhu inside,2019,OI,Inner,14.59230769,7.205128205,0.176923077,0,21.77435897,0.094871795,0.094871795,12.3025641,18.12307692,24.21538462,1.394871795
33,Olhuveli corner,2021/22,OC,Channel,14.485,0,0,0,0,0.945,42.5,30.5525,7.505,2.895,1.09
34,Olhuveli corner,2019,OC,Channel,9.835,0,0,0,0,0,0,81.7525,8.4175,0,0
35,Olhuveli reef,2021/22,OR,Inner,28.08,0,0,0,1.665,4.2575,0.93,19.795,23.8475,21.2925,0.0825
36,Olhuveli reef,2019,OR,Inner,8.6625,1.43,0,0,2.165,0,4.125,37.2025,28.67,17.335,0.4175
37,Rahdhashuhaa,2021/22,RDH,Thila,41.95,0,2.875,0,2.885,5.35,1.12,12.915,13.5175,19.18,0.1675
38,Rahdhashuhaa,2019,RDH,Thila,20.47,0.255,2.0175,0,11.82,0.8325,14.075,15.63,25.5925,6.2175,2.97
