"","year","Site","Depth","Site.ID","Reef type","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"1","2021/22","Fonadhoo inside","5m","FI","Inner",32.515,0,0.725,0,2.55,1.885,15.745,7.07,10.03,27.97,1.46
"2","2021/22","Fonadhoo inside","10m","FI","Inner",49.315,0,1.135,0.165,6.59,0.505,8.36,1.825,12.73,16.02,3.305
"3","2021/22","Fonadhoo outside","10m","FO","Outer",33.425,0,0,0.345,3.87,6.73,0,8.615,0,1.55,45.425
"4","2021/22","Fonadhoo outside","15m","FO","Outer",34.68,0,0.165,0,3.955,22.17,0,19.74,0,0,19.225
"5","2021/22","Fushi kandu","10m","FK","Channel",40.62,0,1.005,0.17,1.19,2.365,2.73,19.04,1.52,10.53,20.755
"6","2021/22","Fushi kandu","15m","FK","Channel",31.935,0.17,0.165,0.165,1.89,6.63,18.35,23.83,0,14.135,2.69
"7","2021/22","Gaadhoo inside","5m","GI","Inner",21.03,0.165,0,0,0,0.165,0.33,35.76,0,41.35,1.185
"8","2021/22","Gaadhoo inside","10m","GI","Inner",28.805,0,0,0,0.5,1,1.175,24.965,2.16,40.87,0.5
"9","2021/22","Gaadhoo outside","10m","GO","Outer",11.045,0,0,0,0,6.955,0,75.49,0,0.5,6.02
"10","2021/22","Gaadhoo outside","15m","GO","Outer",14.915,0,0,0,0.345,6.26,0.355,77.28,0,0.675,0.165
"11","2021/22","Hithadhoo corner","10m","HC","Channel",12.78,0,0,0,0.385,4.42,0,76.03,0.385,5.985,0
"12","2021/22","Hithadhoo corner","15m","HC","Channel",24.2,0,0,0,0.17,2.705,0.165,57.21,0,15.02,0.505
"13","2021/22","Hithadhoo inside","5m","HI","Inner",16.35,0,0,0,2.695,8.675,0,60.525,0,11.585,0.165
"14","2021/22","Hithadhoo inside","10m","HI","Inner",20.815,0,0,0,0.33,5.07,0,59.275,2.52,10.64,1.33
"15","2021/22","Hithadhoo west","10m","HW","Outer",55.045,0,0.335,0,2.815,0.33,7.01,17.35,4.9,11.805,0.335
"16","2021/22","Hithadhoo west","15m","HW","Outer",20.04,0,0,0,0.345,7.815,2.515,53.62,0,15.29,0.33
"17","2021/22","Kurethi outside","10m","KO","Outer",14.41,0,0,0,0.75,5.68,1.91,55.845,0,1.225,20.17
"18","2021/22","Kurethi outside","15m","KO","Outer",19.385,0,0,0,1.57,14,10.69,38.095,0.365,3.275,12.56
"19","2021/22","Laamafaruhaa","5m","LF","Thila",26.765,0,0,0,7.05,2.67,2.165,30.69,0.37,29.58,0.665
"20","2021/22","Laamafaruhaa","10m","LF","Thila",25.26,0.515,0.5,0,1.835,6.74,3.5,23.83,0.89,35.225,1.705
"21","2021/22","Maabaidhoo inside","5m","MBI","Inner",28.29,0,4.675,0.17,1.195,5.51,2.025,40.285,0.17,17.64,0
"22","2021/22","Maabaidhoo inside","10m","MBI","Inner",28.785,0.165,4.2,0.335,1.685,9.175,0.165,32.37,2.33,20.585,0.165
"23","2021/22","Maabaidhoo outside","10m","MBO","Outer",23.03,0.345,2.78,0,0.85,3.045,12.375,28.825,0.495,13.56,14.59
"24","2021/22","Maabaidhoo outside","15m","MBO","Outer",18.175,0.165,0.68,0.17,0.34,2.695,14.85,30.82,3.365,23.78,4.905
"25","2021/22","Maavah corner","10m","MC","Channel",28.62,0,0,0,2.375,4.82,1.83,54.82,0.165,5.475,1.85
"26","2021/22","Maavah corner","15m","MC","Channel",33.145,0,0,0,0.695,11.185,7.92,31.715,0.855,7.805,6.62
"27","2021/22","Maavah inside","5m","MI","Inner",30.93,0,0,0,6.19,0.165,6.71,9.04,18.29,28.295,0.335
"28","2021/22","Maavah inside","10m","MI","Inner",49.995,0,0,0,7.47,0,6.52,16.005,8.565,11.435,0
"29","2021/22","Maavah outside","10m","MO","Outer",11.925,0,0,0,0,6.56,0,73.745,0,4.865,2.88
"30","2021/22","Maavah outside","15m","MO","Outer",14.05,0,0,0,1.415,13.495,4.51,51.76,0.17,8.42,6.14
"31","2021/22","Olhutholhu inside","5m","OI","Inner",24.255,0,0,0,0.165,4.42,1.205,43.935,13.71,7.845,4.44
"32","2021/22","Olhutholhu inside","10m","OI","Inner",27.135,0.165,0,0,10.53,3.375,0,24.365,3.995,30.425,0
"33","2021/22","Olhuveli corner","10m","OC","Channel",13.165,0,0,0,0,1.56,41.44,28.33,10.195,3.76,1.515
"34","2021/22","Olhuveli corner","15m","OC","Channel",15.805,0,0,0,0,0.33,43.56,32.775,4.815,2.03,0.665
"35","2021/22","Olhuveli reef","5m","OR","Inner",27.56,0,0,0,1.5,3.335,1.53,23.995,19.835,22.05,0.165
"36","2021/22","Olhuveli reef","10m","OR","Inner",28.6,0,0,0,1.83,5.18,0.33,15.595,27.86,20.535,0
"37","2021/22","Rahdashuhaa","10m","RDH","Thila",43.585,0,1.66,0,1.51,9.115,0.165,4.39,16.045,23.15,0.335
"38","2021/22","Rahdashuhaa","15m","RDH","Thila",40.315,0,4.09,0,4.26,1.585,2.075,21.44,10.99,15.21,0
"39","2019","Fonadhoo inside","5m","FI","Inner",31.125,3.205,0.165,0,5.8,0,0.71,21.18,8.06,27.66,2.045
"40","2019","Fonadhoo inside","10m","FI","Inner",12.84,17.98,0.165,0,4.08,0.335,0.165,14.61,38.985,9.255,1.55
"41","2019","Fonadhoo outside","10m","FO","Outer",11.66,0,0,0,5.66,0,0,79.005,1,2.665,0
"42","2019","Fonadhoo outside","15m","FO","Outer",19,0,0,0,2.82,0.495,0,75.5,1.33,0.83,0
"43","2019","Fushi kandu","10m","FK","Channel",18.3631578947368,0,0.347368421052632,0,2.27894736842105,0.531578947368421,0,74.3947368421053,1.58421052631579,2.46315789473684,0
"44","2019","Fushi kandu","15m","FK","Channel",13.9619047619048,0,0,0,1.26666666666667,0.79047619047619,2.37142857142857,72.052380952381,1.42380952380952,7.93809523809524,0.157142857142857
"45","2019","Gaadhoo inside","5m","GI","Inner",22.105,0.165,0.345,0,1.01,0.185,0.865,34.555,12.4,27.995,0.335
"46","2019","Gaadhoo inside","10m","GI","Inner",31.485,0,0.165,0,1.51,0.165,1.175,18.455,35.645,11.21,0.165
"47","2019","Gaadhoo outside","10m","GO","Outer",3.825,0,0,0,0.5,0,13.495,71.84,10.33,0,0
"48","2019","Gaadhoo outside","15m","GO","Outer",17.32,0,0,0,0.165,0.335,0,80.34,0.665,0.5,0.665
"49","2019","Hithadhoo corner","10m","HC","Channel",8.82,0,0,0,0.165,0,0,66.835,18.5,5.67,0
"50","2019","Hithadhoo corner","15m","HC","Channel",5.165,0,0,0,0,1,0,62.49,30.985,0,0.33
"51","2019","Hithadhoo inside","5m","HI","Inner",11.725,0,0.2,0,2.135,0.375,1.595,58.59,6.4,18.655,0.33
"52","2019","Hithadhoo inside","10m","HI","Inner",25.77,0.345,0.17,0,1.18,1.2,4.47,40.215,4.11,22.025,0.5
"53","2019","Hithadhoo west","10m","HW","Outer",3.995,0,0,0,1.5,0.165,0,94.17,0.165,0,0
"54","2019","Hithadhoo west","15m","HW","Outer",33.77,0,0,0,0.83,1.845,0,61.705,1.835,0,0
"55","2019","Kurethi outside","10m","KO","Outer",4.77142857142857,0,0.952380952380952,0,1.27619047619048,0,4.14761904761905,87.4047619047619,0,1.42857142857143,0
"56","2019","Kurethi outside","15m","KO","Outer",16.4894736842105,0,0,0,1.74736842105263,0,1.74736842105263,74.9105263157895,4.73684210526316,0.347368421052632,0
"57","2019","Laamafaruhaa","5m","LF","Thila",8.695,0.515,2.42,0,25.4,0.685,0.36,30.895,3.435,24.655,2.905
"58","2019","Laamafaruhaa","10m","LF","Thila",19.3842105263158,0.194736842105263,0.563157894736842,0,18.4210526315789,1.3,1.26315789473684,32.7947368421053,9.9,15.2526315789474,0.873684210526316
"59","2019","Maabaidhoo inside","5m","MBI","Inner",45.53,0,0,0,0.17,0,0.34,39.29,5.83,6.45,2.37
"60","2019","Maabaidhoo inside","10m","MBI","Inner",23.19,0,0.17,0,1.33,0,0,41.595,19.945,13.435,0.33
"61","2019","Maabaidhoo outside","10m","MBO","Outer",21.22,0,0,0,2.57,0.52,0,55.225,2.91,17.555,0
"62","2019","Maabaidhoo outside","15m","MBO","Outer",16.715,0,0.335,0,1.33,0.165,1.005,58.035,7.835,14.08,0.5
"63","2019","Maavah corner","10m","MC","Channel",23.86,0,0.665,0,2.855,1.345,2.01,65.93,1.995,1.33,0
"64","2019","Maavah corner","15m","MC","Channel",23.405,0,0.33,0,1.83,0.83,6.54,63.18,2.52,0.835,0.515
"65","2019","Maavah inside","5m","MI","Inner",5.51,5.595,0,0,16.38,0.165,0,22.58,16.455,33.115,0.17
"66","2019","Maavah inside","10m","MI","Inner",10.31,19.55,0,0,8.865,0.85,0.675,16.915,26.185,7.54,9.085
