Surveyors Name,Site,Site.name,Reef.type,Depth,Replicate No.,Family,Species,Size,Biomass
AZ,OI,Olhutholhu inside,inside,10,1,SNAP,GIB,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,SNAP,MONO,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,SNAP,MONO,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,SNAP,MONO,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,SNAP,MONO,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,GRO,ARE,03-Oct,2
AZ,OI,Olhutholhu inside,inside,10,1,GRO,ARE,Nov-20,49
AZ,OI,Olhutholhu inside,inside,10,1,GRO,LEA,Nov-20,41.9684215
AZ,OI,Olhutholhu inside,inside,10,1,GRO,ROG,03-Oct,3
AZ,OI,Olhutholhu inside,inside,10,1,BUT,AUR,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,AUR,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,AUR,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,AUR,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,FAL,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TRI,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,KLE,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,KLE,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,KLE,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,MEY,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
AZ,OI,Olhutholhu inside,inside,10,1,BUT,TFT,NA,NA
VE,OI,Olhutholhu inside,inside,5,1,RAB,CHIN,NA,NA
VE,OI,Olhutholhu inside,inside,5,1,PAR,SHEEPHEAD,41-50,2568.20854
VE,OI,Olhutholhu inside,inside,5,1,PAR,EMBER,03-Oct,3.03620374
VE,OI,Olhutholhu inside,inside,5,1,PAR,EMBER,03-Oct,3.03620374
VE,OI,Olhutholhu inside,inside,5,1,PAR,EMBER,03-Oct,3.036203739
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,03-Oct,3.03620374
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,03-Oct,3.03620374
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,03-Oct,3.03620374
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
